AppName,TCID,STATUS,EXEDATE,RCA  ,Unnamed: 5
OnePlan,2,Pass,09.24.19,"UAT2.2|if key==""password"":|password=""admin""|authenticate",UAT2.0
OnePlan,7,Fail,08.24.19,STG2.0|while var >! 0:  |var=balance|validation,PROD2.0
OnePlan,12,Pass,08.18.19,"DEV2.2|print(""sum is"",a+b)|a=b=nan|retrive data",PROD2.0
OnePlan,13,Fail,06.02.19,UAT2.0|form.submit(name[0])|name=get(name.values)|retriving,DEV2.0
OnePlan,16,Pass,06.17.19,"DEV2.2|plt.show(a,d)|a,d=(df.keys,df.values)|plotting",UAT2.0
OnePlan,18,Pass,04.26.19,STG2.2| if i>5 |i=6 |decision control,DEV2.0
OnePlan,23,Fail,05.31.19,"DEV2.0|plt.plot(q,r)|q,r =(t.height,t.weight)|plotting",PROD2.0
OnePlan,24,Pass,08.29.19,"STG2.2|if value==""username"":|username=""user""|authenticate",DEV2.0
OnePlan,25,Pass,08.08.19,"DEV2.2| for x,d in tup:| tup=(data.Height, data.shape[0])|looping",DEV2.0
OnePlan,28,Fail,04.23.19,"UAT2.0|add(balance,tranc):|balance=address.getvalue();|updating balance",DEV2.0
OnePlan,30,Pass,09.17.19,"DEV2.2|for val in ""str1"": |str=tranc('title')|iteration",DEV2.0
OnePlan,33,Pass,08.10.19,"DEV2.2|plt.plot(q,r)|q,r =(t.height,t.weight)|plotting",PROD2.0
OnePlan,35,Pass,05.26.19,DEV2.2|print(a)|a=transaction.address|retrive data,STG2.0
OnePlan,36,Pass,04.15.19,STG2.2| if i>5 |i=6 |decision control,DEV2.0
OnePlan,40,Pass,06.03.19,UAT2.2|if i>z|i=z|decision control,PROD2.0
OnePlan,41,Fail,08.18.19,UAT2.0|values=list(names)|names=set(names.keys)|retriving,UAT2.0
OnePlan,46,Fail,09.26.19,"STG2.0|for i in range(0,len(book))|book=list(transactions)|looping",DEV2.0
OnePlan,51,Pass,07.06.19,"STG2.2|for i,j in range()|j=dict(age)|looping",PROD2.0
OnePlan,52,Fail,05.20.19,"UAT2.0|for y,z in list:|list=(df.weight, df.shape[1])|looping",DEV2.0
OnePlan,54,Pass,04.16.19,"UAT2.2|add(balance,tranc):|balance=address.getvalue();|updating balance",UAT2.0
OnePlan,56,Fail,04.13.19,UAT2.0|form.submit(name[0])|name=get(name.values)|retriving,UAT2.0
